time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1758118319.73679996,0.21553481,12397,0.00047672,0.00000000,0,0.00000000,6209,6254,61,0.00184850
1758118320.13660002,0.29302156,12503,0.00291073,0.00000000,0,0.00000000,6254,6502,456,0.00242692
1758118320.23659992,0.30175883,12565,0.00237545,0.00000000,0,0.00000000,6502,6646,386,0.00248396
1758118320.33660007,0.25640891,12666,0.00185414,0.00000000,0,0.00000000,6646,6751,162,0.00258379
1758118320.43650007,0.25632607,12746,0.00142105,0.00000000,0,0.00000000,6751,6860,203,0.00358336
1758118320.53660011,0.29582856,12816,0.00190750,0.00000000,0,0.00000000,6860,7097,331,0.00176112
1758118320.63599992,0.30679772,12874,0.00222061,0.00000000,0,0.00000000,7097,7247,353,0.00185946
1758118320.73639989,0.28125230,12908,0.00228989,0.00000000,0,0.00000000,7247,7354,313,0.00190805
1758118320.83610010,0.22359458,12884,0.00049829,0.00000000,0,0.00000000,7354,7401,55,0.00203028
1758118320.93610001,0.28445732,12803,0.00218957,0.00000000,0,0.00000000,7401,7608,345,0.00242205
1758118321.03620005,0.31278288,12735,0.00322802,0.00000000,0,0.00000000,7608,7684,279,0.00200423
1758118321.13630009,0.22662640,12695,0.00086316,0.00000000,0,0.00000000,7684,7716,53,0.00232356
1758118321.23639989,0.29918615,12706,0.00227847,0.00000000,0,0.00000000,7716,7843,310,0.00210325
1758118321.33660007,0.26062046,12720,0.00128664,0.00000000,0,0.00000000,7843,7946,193,0.00207952
1758118321.53710008,0.34614765,12822,0.00327736,0.00000000,0,0.00000000,7946,8118,472,0.00208235
1758118321.73670006,0.23096996,13071,0.00056821,0.00000000,0,0.00000000,8118,8149,41,0.00226113
1758118321.83710003,0.30567162,13231,0.00326666,0.00000000,0,0.00000000,8149,8356,356,0.00222159
1758118321.93659997,0.26693045,13380,0.00075820,0.00000000,0,0.00000000,8356,8414,108,0.00254112
1758118322.03699994,0.23530826,13484,0.00051358,0.00000000,0,0.00000000,8414,8440,45,0.00207648
1758118322.13669991,0.28127345,13533,0.00188656,0.00000000,0,0.00000000,8440,8487,177,0.00243053
1758118322.23659992,0.32708918,13554,0.00402032,0.00000000,0,0.00000000,8487,8693,415,0.00244741
1758118322.33649993,0.32262331,13581,0.00270621,0.00000000,0,0.00000000,8693,8896,384,0.00226949
1758118322.43650007,0.22811424,13679,0.00056508,0.00000000,0,0.00000000,8896,8947,62,0.00224988
1758118322.53660011,0.23895772,13753,0.00169239,0.00000000,0,0.00000000,8947,8981,60,0.00268823
1758118322.63599992,0.31732776,13785,0.00426835,0.00000000,0,0.00000000,8981,9218,450,0.00252314
1758118322.73659992,0.29625701,13791,0.00274542,0.00000000,0,0.00000000,9218,9401,262,0.00246656
1758118322.83660007,0.33066141,13777,0.00405081,0.00000000,0,0.00000000,9401,9510,422,0.00256028
1758118323.03649998,0.33465417,13819,0.00355059,0.00000000,0,0.00000000,9510,9855,482,0.00227363
1758118323.13630009,0.33426437,13802,0.00397982,0.00000000,0,0.00000000,9855,9360,446,0.00237478
1758118323.23550010,0.25963225,13817,0.00044362,0.00000000,0,0.00000000,9360,9434,80,0.00255845
1758118323.33590007,0.35126888,13830,0.00153056,0.00000000,0,0.00000000,9434,9770,429,0.00266084
